msm_id,prb_id,hop,ip_addr,asn,country
88302907,50344,19,62.115.114.185,1299,AT
88302907,50344,20,213.248.76.31,1299,AT
88302907,50344,21,91.135.161.162,39878,AT
88302907,35680,1,192.168.33.1,,
88302907,35680,2,155.4.32.2,8473,SE
88302907,35680,3,46.59.117.86,8473,SE
88302907,35680,4,46.59.113.240,8473,SE
88302907,35680,5,46.59.112.22,8473,SE
88302907,35680,6,46.59.112.183,8473,SE
88302907,35680,7,85.24.220.17,8473,SE
88302907,35680,8,194.68.128.117,,SE
88302907,35680,9,81.95.2.38,201011,DE
88302907,35680,10,81.95.2.10,201011,DE
88302907,35680,11,91.135.161.162,39878,AT
88302907,35743,1,192.168.100.1,,
88302907,35743,2,,,
88302907,35743,3,160.119.224.102,328137,ZA
88302907,35743,4,160.119.224.133,328137,ZA
88302907,35743,5,160.119.224.17,328137,ZA
88302907,35743,6,160.119.224.54,328137,ZA
88302907,35743,7,206.249.0.8,174,ZA
88302907,35743,8,130.117.15.178,174,ZA
88302907,35743,9,141.136.110.186,3257,DE
88302907,35743,10,154.14.164.42,3257,DE
88302907,35743,11,91.135.161.162,39878,AT
88302907,33500,1,192.168.12.1,,
88302907,33500,2,192.0.0.1,,
88302907,33500,3,,,
88302907,33500,4,,,
88302907,33500,5,,,
88302907,33500,6,,,
88302907,33500,7,,,
88302907,33500,255,91.135.161.162,39878,AT
88302907,13070,1,192.168.1.1,,
88302907,13070,2,75.101.33.52,46375,US
88302907,13070,3,157.131.209.34,46375,US
88302907,13070,4,,,
88302907,13070,5,,,
88302907,13070,6,,,
88302907,13070,7,,,
88302907,13070,8,,,
88302907,13070,255,91.135.161.162,39878,AT
88302907,17083,1,192.168.1.254,,
88302907,17083,2,,,
88302907,17083,3,62.34.3.18,5410,FR
88302907,17083,4,62.34.2.108,5410,FR
88302907,17083,5,62.34.2.248,5410,FR
88302907,17083,6,62.34.2.86,5410,FR
88302907,17083,7,80.255.9.69,201011,FR
88302907,17083,8,81.95.2.38,201011,DE
88302907,17083,9,81.95.2.10,201011,DE
88302907,17083,10,91.135.161.162,39878,AT
88302907,10473,1,192.168.3.1,,
88302907,10473,2,72.73.82.1,13977,US
88302907,10473,3,70.109.168.201,13977,US
88302907,10473,4,64.124.142.46,6461,CA
88302907,10473,5,64.124.142.45,6461,CA
88302907,10473,6,69.174.9.109,3257,CA
88302907,10473,7,141.136.110.190,3257,DE
88302907,10473,8,154.14.164.42,3257,DE
88302907,10473,9,91.135.161.162,39878,AT
88302907,15535,1,194.225.152.65,6736,IR
88302907,15535,2,194.225.150.20,6736,IR
88302907,15535,3,194.225.151.5,6736,IR
88302907,15535,4,213.198.52.64,2914,DE
88302907,15535,5,129.250.7.17,2914,DE
88302907,15535,6,129.250.2.5,2914,DE
88302907,15535,7,46.33.83.253,3257,DE
88302907,15535,8,141.136.110.186,3257,DE
88302907,15535,9,154.14.164.42,3257,DE
88302907,15535,10,91.135.161.162,39878,AT
88302907,32023,1,10.1.1.1,,
88302907,32023,2,192.168.0.1,,
88302907,32023,3,85.187.221.1,198482,BG
88302907,32023,4,151.237.6.1,198482,BG
88302907,32023,5,151.237.0.1,198482,BG
88302907,32023,6,80.72.64.74,31287,BG
88302907,32023,7,62.115.183.97,1299,BG
88302907,32023,8,62.115.136.122,1299,AT
88302907,32023,9,62.115.114.185,1299,AT
88302907,32023,10,213.248.76.31,1299,AT
88302907,32023,11,91.135.161.162,39878,AT
88302907,34170,1,192.168.0.1,,
88302907,34170,2,,,
88302907,34170,3,,,
88302907,34170,4,,,
88302907,34170,5,,,
88302907,34170,6,,,
88302907,34170,255,,,
88302907,34170,1,192.168.0.1,,
88302907,34170,2,,,
88302907,34170,3,,,
88302907,34170,4,,,
88302907,34170,5,,,
88302907,34170,6,,,
88302907,34170,255,,,
88302907,16784,1,31.47.108.30,8251,CZ
88302907,16784,2,91.210.16.147,,CZ
88302907,16784,3,81.95.2.50,201011,DE
88302907,16784,4,81.95.2.10,201011,DE
88302907,16784,5,91.135.161.162,39878,AT
88302907,29377,1,10.0.0.254,,
88302907,29377,2,100.65.255.254,,
88302907,29377,3,77.246.117.46,42965,DE
88302907,29377,4,77.246.117.115,42965,DE
88302907,29377,5,77.246.117.117,42965,DE
88302907,29377,6,80.81.195.53,,DE
88302907,29377,7,91.135.161.162,39878,AT
88302907,22479,1,192.168.11.1,,
88302907,22479,2,178.17.0.49,50825,CZ
88302907,22479,3,100.64.5.41,,
88302907,22479,4,31.170.178.11,35236,CZ
88302907,22479,5,62.115.50.109,1299,CZ
88302907,22479,6,62.115.124.30,1299,AT
88302907,22479,7,62.115.114.183,1299,AT
88302907,22479,8,213.248.76.31,1299,AT
88302907,22479,9,91.135.161.162,39878,AT
88302907,32616,1,10.4.24.1,,
88302907,32616,2,207.225.84.49,209,US
88302907,32616,3,207.225.86.129,209,US
88302907,32616,4,4.68.38.153,3356,US
88302907,32616,5,,,
88302907,32616,6,212.113.8.42,3356,GB
88302907,32616,7,81.95.2.38,201011,DE
88302907,32616,8,81.95.2.10,201011,DE
88302907,32616,9,91.135.161.162,39878,AT
88302907,25054,1,,,
88302907,25054,2,62.84.89.9,42334,LB
88302907,25054,3,10.38.164.129,,
88302907,25054,4,172.16.110.1,,
88302907,25054,5,,,
88302907,25054,6,,,
88302907,25054,7,213.242.116.233,3356,FR
88302907,25054,8,171.75.10.11,3356,DE
88302907,25054,9,62.140.24.42,3356,DE
88302907,25054,10,81.95.2.38,201011,DE
88302907,25054,11,81.95.2.10,201011,DE
88302907,25054,12,91.135.161.162,39878,AT
88302907,175,1,194.160.23.1,2607,SK
88302907,175,2,194.160.8.18,2607,SK
88302907,175,3,193.87.3.1,2607,SK
88302907,175,4,193.203.0.217,7713,AT
88302907,175,5,91.135.161.162,39878,AT
88302907,12878,1,45.154.60.225,202945,FR
88302907,12878,2,5.226.1.143,30781,FR
88302907,12878,3,45.154.60.19,202945,FR
88302907,12878,4,193.164.153.249,34019,FR
88302907,12878,5,80.81.195.53,,DE
88302907,12878,6,91.135.161.162,39878,AT
88302907,34196,1,10.32.48.1,,
88302907,34196,2,192.168.5.1,,
88302907,34196,3,88.86.203.65,28890,RU
88302907,34196,4,88.86.203.1,28890,RU
88302907,34196,5,2.63.223.33,12389,RU
88302907,34196,6,185.140.148.249,12389,RU
88302907,34196,7,87.226.221.231,12389,DE
88302907,34196,8,81.95.2.38,201011,DE
88302907,34196,9,81.95.2.10,201011,DE
88302907,34196,10,91.135.161.162,39878,AT
88302907,19010,1,192.168.1.1,,
88302907,19010,2,,,
88302907,19010,3,172.17.89.216,,
88302907,19010,4,172.17.89.236,,
88302907,19010,5,172.19.177.28,,
88302907,19010,6,195.22.205.98,6762,IT
88302907,19010,7,195.22.192.139,6762,IT
88302907,19010,8,212.221.95.185,3257,IT
88302907,19010,9,141.136.110.186,3257,DE
88302907,19010,10,154.14.164.42,3257,DE
88302907,19010,11,91.135.161.162,39878,AT
88302907,16735,1,200.160.12.1,22548,BR
88302907,16735,2,200.160.0.225,22548,BR
88302907,16735,3,200.160.0.156,22548,BR
88302907,16735,4,,,
88302907,16735,5,,,
88302907,16735,6,,,
88302907,16735,7,,,
88302907,16735,8,80.81.195.53,,DE
88302907,16735,9,91.135.161.162,39878,AT
88302907,10141,1,192.168.1.1,,
88302907,10141,2,10.20.144.1,,
88302907,10141,3,213.221.236.64,15600,CH
88302907,10141,4,91.206.52.191,,CH
88302907,10141,5,91.206.52.191,,CH
88302907,10141,6,81.95.2.38,201011,DE
88302907,10141,7,81.95.2.10,201011,DE
88302907,10141,8,91.135.161.162,39878,AT
88302907,4999,1,192.168.178.1,,
88302907,4999,2,195.78.189.145,12312,DE
88302907,4999,3,195.78.190.1,12312,DE
88302907,4999,4,195.78.190.89,12312,DE
88302907,4999,5,62.27.97.5,12312,DE
88302907,4999,6,62.27.97.26,12312,DE
88302907,4999,7,80.81.195.53,,DE
88302907,4999,8,91.135.161.162,39878,AT
88302907,20034,1,192.168.1.254,,
88302907,20034,2,176.160.192.3,5410,FR
88302907,20034,3,62.34.3.167,5410,FR
88302907,20034,4,212.194.171.2,5410,FR
88302907,20034,5,,,
88302907,20034,6,80.255.9.69,201011,FR
88302907,20034,7,81.95.2.38,201011,DE
88302907,20034,8,81.95.2.10,201011,DE
88302907,20034,9,91.135.161.162,39878,AT
88302907,11006,1,172.16.0.1,,
88302907,11006,2,192.168.0.1,,
88302907,11006,3,83.218.213.129,31204,MD
88302907,11006,4,77.89.192.17,25454,MD
88302907,11006,5,77.89.192.22,25454,MD
88302907,11006,6,93.122.154.66,8953,RO
88302907,11006,7,,,
88302907,11006,8,92.87.171.37,9050,RO
88302907,11006,9,,,
88302907,11006,10,80.81.195.53,,DE
88302907,11006,11,91.135.161.162,39878,AT
88302907,50765,1,10.10.60.1,,
88302907,50765,2,77.47.26.1,35244,DE
88302907,50765,3,146.0.123.53,16097,DE
88302907,50765,4,109.104.61.172,16097,DE
88302907,50765,5,80.81.195.53,,DE
88302907,50765,6,91.135.161.162,39878,AT
88302907,6360,1,91.135.161.162,39878,AT
88302907,20493,1,10.0.1.1,,
88302907,20493,2,71.254.0.1,13977,US
88302907,20493,3,70.109.171.31,13977,US
88302907,20493,4,70.109.171.11,13977,US
88302907,20493,5,38.104.52.78,174,US
88302907,20493,6,,,
88302907,20493,7,66.28.4.29,174,US
88302907,20493,8,154.54.9.26,174,US
88302907,20493,9,62.115.140.27,1299,US
88302907,20493,10,62.115.138.58,1299,US
88302907,20493,11,62.115.139.247,1299,GB
88302907,20493,12,62.115.133.239,1299,FR
88302907,20493,13,62.115.122.139,1299,DE
88302907,20493,14,62.115.138.23,1299,AT
88302907,20493,15,62.115.114.183,1299,AT
88302907,20493,16,213.248.76.31,1299,AT
88302907,20493,17,91.135.161.162,39878,AT
88302907,24000,1,192.168.178.1,,
88302907,24000,2,100.124.1.27,,
88302907,24000,3,,,
88302907,24000,4,,,
88302907,24000,5,80.81.195.53,,DE
88302907,24000,6,91.135.161.162,39878,AT
88302907,32622,1,178.172.160.1,6697,BY
88302907,32622,2,178.124.134.58,6697,BY
88302907,32622,3,93.84.125.194,6697,BY
88302907,32622,4,178.124.190.124,6697,BY
88302907,32622,5,178.124.190.203,6697,BY
88302907,32622,6,80.81.195.53,,DE
88302907,32622,7,91.135.161.162,39878,AT
88302907,29753,1,10.98.0.1,,
88302907,29753,2,195.14.226.131,8422,DE
88302907,29753,3,87.79.16.205,8422,DE
88302907,29753,4,78.35.10.35,8422,DE
88302907,29753,5,80.81.195.53,,DE
88302907,29753,6,91.135.161.162,39878,AT
88302907,32028,1,185.199.217.213,41955,DE
88302907,32028,2,185.199.216.5,41955,DE
88302907,32028,3,134.76.56.34,207592,DE
88302907,32028,4,195.12.38.65,207592,DE
88302907,32028,5,195.12.38.67,207592,DE
88302907,32028,6,62.176.231.144,9136,DE
88302907,32028,7,62.176.251.108,9136,DE
88302907,32028,8,80.81.195.53,,DE
88302907,32028,9,91.135.161.162,39878,AT
88302907,15535,1,194.225.152.65,6736,IR
88302907,15535,2,194.225.150.20,6736,IR
88302907,15535,3,194.225.151.5,6736,IR
88302907,15535,4,213.198.52.64,2914,DE
88302907,15535,5,129.250.7.17,2914,DE
88302907,15535,6,129.250.2.5,2914,DE
88302907,15535,7,46.33.83.253,3257,DE
88302907,15535,8,141.136.110.186,3257,DE
88302907,15535,9,154.14.164.42,3257,DE
88302907,15535,10,91.135.161.162,39878,AT
88302907,19010,1,192.168.1.1,,
88302907,19010,2,,,
88302907,19010,3,172.17.89.216,,
88302907,19010,4,172.17.89.236,,
88302907,19010,5,172.19.177.28,,
88302907,19010,6,195.22.205.98,6762,IT
88302907,19010,7,195.22.192.139,6762,IT
88302907,19010,8,212.221.95.185,3257,IT
88302907,19010,9,141.136.110.186,3257,DE
88302907,19010,10,154.14.164.42,3257,DE
88302907,19010,11,91.135.161.162,39878,AT
88302907,25375,1,203.193.179.25,9430,IN
88302907,25375,2,14.141.172.221,4755,IN
88302907,25375,3,172.28.173.70,,
88302907,25375,4,172.28.118.237,,
88302907,25375,5,180.87.38.5,6453,IN
88302907,25375,6,180.87.38.29,6453,IN
88302907,25375,7,,,
88302907,25375,8,,,
88302907,25375,9,,,
88302907,25375,10,,,
88302907,25375,11,213.248.78.40,1299,DE
88302907,25375,12,62.115.114.88,1299,DE
88302907,25375,13,62.115.137.203,1299,AT
88302907,25375,14,62.115.114.185,1299,AT
88302907,25375,15,213.248.76.31,1299,AT
88302907,25375,16,91.135.161.162,39878,AT
88302907,12722,1,193.171.76.247,1853,AT
88302907,12722,2,193.171.19.177,1853,AT
88302907,12722,3,193.203.0.2,7713,AT
88302907,12722,4,193.203.0.217,7713,AT
88302907,12722,5,91.135.161.162,39878,AT
88302907,30997,1,10.60.42.1,,
88302907,30997,2,10.255.247.2,,
88302907,30997,3,88.198.237.194,24940,DE
88302907,30997,4,88.198.237.193,24940,DE
88302907,30997,5,213.239.229.5,24940,DE
88302907,30997,6,213.239.237.213,24940,DE
88302907,30997,7,193.203.0.217,7713,AT
88302907,30997,8,91.135.161.162,39878,AT
88302907,15644,1,10.42.123.1,,
88302907,15644,2,79.160.116.224,29695,NO
88302907,15644,3,213.167.114.219,29695,NO
88302907,15644,4,185.1.55.83,,NO
88302907,15644,5,81.95.2.38,201011,DE
88302907,15644,6,81.95.2.10,201011,DE
88302907,15644,7,91.135.161.162,39878,AT
88302907,12652,1,192.168.81.1,,
88302907,12652,2,50.35.80.1,20055,US
88302907,12652,3,64.52.96.4,20055,US
88302907,12652,4,,,
88302907,12652,5,137.83.81.92,20055,US
88302907,12652,6,,,
88302907,12652,7,76.74.79.9,3257,US
88302907,12652,8,141.136.110.190,3257,DE
88302907,12652,9,154.14.164.42,3257,DE
88302907,12652,10,91.135.161.162,39878,AT
88302907,50446,1,44.135.219.17,63479,US
88302907,50446,2,44.135.219.161,63479,US
88302907,50446,3,44.25.8.225,63479,US
88302907,50446,4,44.25.16.1,63479,US
88302907,50446,5,209.189.196.65,7752,US
88302907,50446,6,209.189.200.200,7752,US
88302907,50446,7,157.238.231.156,2914,US
88302907,50446,8,129.250.2.122,2914,US
88302907,50446,9,129.250.2.27,2914,US
88302907,50446,10,213.248.70.12,1299,US
88302907,50446,11,62.115.132.154,1299,US
88302907,50446,12,,,
88302907,50446,13,62.115.139.247,1299,GB
88302907,50446,14,62.115.137.235,1299,NL
88302907,50446,15,62.115.137.5,1299,FR
88302907,50446,16,62.115.122.139,1299,DE
88302907,50446,17,62.115.138.23,1299,AT
88302907,50446,18,62.115.114.183,1299,AT
88302907,50446,19,213.248.76.31,1299,AT
88302907,50446,20,91.135.161.162,39878,AT
88302907,51147,1,10.13.39.1,,
88302907,51147,2,188.137.36.1,13000,PL
88302907,51147,3,195.3.200.253,13000,PL
88302907,51147,4,80.81.195.53,,DE
88302907,51147,5,91.135.161.162,39878,AT
88302907,32028,1,185.199.217.213,41955,DE
88302907,32028,2,185.199.216.5,41955,DE
88302907,32028,3,134.76.56.34,207592,DE
88302907,32028,4,195.12.38.65,207592,DE
88302907,32028,5,195.12.38.67,207592,DE
88302907,32028,6,62.176.231.144,9136,DE
88302907,32028,7,62.176.251.108,9136,DE
88302907,32028,8,80.81.195.53,,DE
88302907,32028,9,91.135.161.162,39878,AT
88302907,12876,1,192.168.1.1,,
88302907,12876,2,37.191.144.1,2116,NO
88302907,12876,3,10.51.242.13,,
88302907,12876,4,10.51.242.9,,
88302907,12876,5,10.51.242.5,,
88302907,12876,6,10.51.242.1,,
88302907,12876,7,195.0.241.42,2116,NO
88302907,12876,8,195.0.242.232,2116,NO
88302907,12876,9,193.75.2.49,2116,NO
88302907,12876,10,212.112.170.216,12552,NO
88302907,12876,11,,,
88302907,12876,12,146.247.205.244,12552,NO
88302907,12876,13,,,
88302907,12876,14,146.247.200.17,12552,SE
88302907,12876,15,146.247.200.83,12552,DE
88302907,12876,16,146.247.200.114,12552,DE
88302907,12876,17,146.247.200.151,12552,DE
88302907,12876,18,80.81.195.53,,DE
88302907,12876,19,91.135.161.162,39878,AT
88302907,32616,1,10.4.24.1,,
88302907,32616,2,207.225.84.49,209,US
88302907,32616,3,207.225.86.129,209,US
88302907,32616,4,4.68.38.153,3356,US
88302907,32616,5,171.75.9.189,3356,GB
88302907,32616,6,212.113.8.42,3356,GB
88302907,32616,7,81.95.2.38,201011,DE
88302907,32616,8,81.95.2.10,201011,DE
88302907,32616,9,91.135.161.162,39878,AT
88302907,16882,1,172.16.30.1,,
88302907,16882,2,90.145.83.25,29396,NL
88302907,16882,3,10.31.21.14,,
88302907,16882,4,80.249.215.7,,NL
88302907,16882,5,91.135.161.162,39878,AT
88302907,21272,1,188.64.120.2,49640,IT
88302907,21272,2,,,
88302907,21272,3,184.104.199.125,6939,CH
88302907,21272,4,,,
88302907,21272,5,80.81.195.53,,DE
88302907,21272,6,91.135.161.162,39878,AT
88302907,3263,1,192.168.2.1,,
88302907,3263,2,89.24.145.107,13036,CZ
88302907,3263,3,,,
88302907,3263,4,213.29.94.201,13036,CZ
88302907,3263,5,62.115.32.254,1299,CZ
88302907,3263,6,,,
88302907,3263,7,62.115.124.30,1299,AT
88302907,3263,8,62.115.114.183,1299,AT
88302907,3263,9,213.248.76.31,1299,AT
88302907,3263,10,91.135.161.162,39878,AT
88302907,12876,1,192.168.1.1,,
88302907,12876,2,37.191.144.1,2116,NO
88302907,12876,3,10.51.242.13,,
88302907,12876,4,10.51.242.9,,
88302907,12876,5,10.51.242.5,,
88302907,12876,6,10.51.242.1,,
88302907,12876,7,195.0.241.42,2116,NO
88302907,12876,8,195.0.242.232,2116,NO
88302907,12876,9,,,
88302907,12876,10,212.112.170.216,12552,NO
88302907,12876,11,146.247.205.242,12552,NO
88302907,12876,12,146.247.205.244,12552,NO
88302907,12876,13,,,
88302907,12876,14,146.247.200.17,12552,SE
88302907,12876,15,146.247.200.83,12552,DE
88302907,12876,16,146.247.200.114,12552,DE
88302907,12876,17,146.247.200.151,12552,DE
88302907,12876,18,80.81.195.53,,DE
88302907,12876,19,91.135.161.162,39878,AT
88302907,31171,1,192.168.1.1,,
88302907,31171,2,10.24.97.172,,
88302907,31171,3,,,
88302907,31171,4,91.183.242.96,5432,BE
88302907,31171,5,62.115.40.97,1299,BE
88302907,31171,6,62.115.116.238,1299,FR
88302907,31171,7,62.115.123.12,1299,DE
88302907,31171,8,62.115.137.203,1299,AT
88302907,31171,9,62.115.114.185,1299,AT
88302907,31171,10,213.248.76.31,1299,AT
88302907,31171,11,91.135.161.162,39878,AT
88302907,26380,1,192.168.0.1,,
88302907,26380,2,100.64.0.1,,
88302907,26380,3,172.16.251.76,,
88302907,26380,4,206.224.67.92,14593,US
88302907,26380,5,206.224.67.74,14593,GB
88302907,26380,6,195.66.224.238,,GB
88302907,26380,7,81.95.2.38,201011,DE
88302907,26380,8,81.95.2.10,201011,DE
88302907,26380,9,91.135.161.162,39878,AT
88302907,32150,1,172.17.10.1,,
88302907,32150,2,82.192.224.1,21232,CH
88302907,32150,3,213.160.40.233,21232,CH
88302907,32150,4,213.160.40.242,21232,CH
88302907,32150,5,91.206.52.191,,CH
88302907,32150,6,81.95.2.38,201011,DE
88302907,32150,7,81.95.2.10,201011,DE
88302907,32150,8,91.135.161.162,39878,AT
88302907,29012,1,192.168.1.1,,
88302907,29012,2,192.168.179.1,,
88302907,29012,3,10.196.7.3,,
88302907,29012,4,,,
88302907,29012,5,80.81.195.53,,DE
88302907,29012,6,91.135.161.162,39878,AT
88302907,28913,1,10.128.232.1,,
88302907,28913,2,212.100.41.217,198967,DE
88302907,28913,3,185.48.244.152,198967,DE
88302907,28913,4,185.48.244.165,198967,DE
88302907,28913,5,80.81.195.90,,DE
88302907,28913,6,80.81.195.53,,DE
88302907,28913,7,91.135.161.162,39878,AT
88302907,16735,1,200.160.12.1,22548,BR
88302907,16735,2,200.160.0.225,22548,BR
88302907,16735,3,200.160.0.156,22548,BR
88302907,16735,4,,,
88302907,16735,5,,,
88302907,16735,6,,,
88302907,16735,7,,,
88302907,16735,8,80.81.195.53,,DE
88302907,16735,9,91.135.161.162,39878,AT
88302907,23085,1,192.168.1.1,,
88302907,23085,2,142.124.39.75,,CA
88302907,23085,3,,,
88302907,23085,4,,,
88302907,23085,5,,,
88302907,23085,6,142.124.123.184,,CA
88302907,23085,7,142.124.127.229,,CA
88302907,23085,8,,,
88302907,23085,9,64.230.79.91,,CA
88302907,23085,10,198.32.160.234,,US
88302907,23085,11,81.95.2.38,201011,DE
88302907,23085,12,81.95.2.10,201011,DE
88302907,23085,13,91.135.161.162,39878,AT
88302907,21576,1,129.143.67.254,553,DE
88302907,21576,2,129.143.60.144,553,DE
